trial_type,audio_path,video_path,image_path,button_position_x,button_position_y,button_width,button_height,button1_position_x,button1_position_y,button1_width,button1_height,button2_position_x,button2_position_y,button2_width,button2_height,background_image,overlay_image_1,overlay_image_2,correct_response,condition
practice,audio/silence.wav,,image/shapetest.png,540,0,540,400,,,,,,,,,,,,,
practice,audio/silence.wav,,image/shapetest.png,0,400,540,400,,,,,,,,,,,,,
training,audio/whole_intro.wav,video/intro.mp4,,,,,,,,,,,,,,,,,,
practice,audio/click_zookeeper.wav,,image/intro_pic.png,0,0,270,800,,,,,,,,,,,,,
training,audio/fact_giraffe.wav,video/giraffe.mp4,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/giraffe_check.png,450,190,540,405,,,,,,,,,,,,,
training,audio/fact_bear.wav,video/bear.mp4,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/bear_check.png,450,190,540,405,,,,,,,,,,,,,
training,audio/fact_elephant.wav,video/elephant.mp4,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/elephant_check.png,450,190,540,405,,,,,,,,,,,,,
training,audio/thanks_animals.wav,video/thanks_animals.mp4,,,,,,,,,,,,,,,,,,
practice,audio/click_mechanic.wav,,image/intro_pic.png,810,0,270,800,,,,,,,,,,,,,
training,audio/fact_helicopter.wav,video/helicopter.mp4,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/helicopter_check.png,100,190,540,405,,,,,,,,,,,,,
training,audio/fact_train.wav,video/train.mp4,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/train_check.png,100,190,540,405,,,,,,,,,,,,,
training,audio/fact_truck.wav,video/truck.mp4,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/truck_check.png,100,190,540,405,,,,,,,,,,,,,
training,audio/thanks_vehicles.wav,video/thanks_vehicles.mp4,,,,,,,,,,,,,,,,,,
training,audio/great_questions.wav,video/fam_transition.mp4,,,,,,,,,,,,,,,,,,
check,audio/who_knows_more.wav,,image/lion.png,,,,,0,0,405,800,675,0,405,800,,,,,
check,audio/who_knows_more.wav,,image/car.png,,,,,0,0,405,800,675,0,405,800,,,,,
check,audio/who_knows_animals.wav,,image/bothspeakers.png,,,,,0,0,405,800,675,0,405,800,,,,,
check,audio/who_knows_vehicles.wav,,image/bothspeakers.png,,,,,0,0,405,800,675,0,405,800,,,,,
practice,audio/silence.wav,,image/break.png,0,0,1080,800,,,,,,,,,,,,,
training,audio/noveltraining_1.wav,video/novelobjectlabeling_1.mp4,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/break.png,0,0,1080,800,,,,,,,,,,,,,
training,audio/noveltraining_2.wav,video/novelobjectlabeling_2.mp4,,,,,,,,,,,,,,,,,,
practice,audio/silence.wav,,image/break.png,0,0,1080,800,,,,,,,,,,,,,
training,audio/great_remember.wav,video/novel_transition.mp4,,,,,,,,,,,,,,,,,,
test,audio/where_truck.wav,,,,,,,,,,,,,,,image/table.png,image/truck.png,image/bear.png,button1,fam
test,audio/find_dax.wav,,,,,,,,,,,,,,,image/table.png,image/A1.png,image/V1.png,button1,match
test,audio/find_gasser.wav,,,,,,,,,,,,,,,image/table.png,image/V2.png,image/A2.png,button2,match
test,audio/find_posk.wav,,,,,,,,,,,,,,,image/table.png,image/V1.png,image/A1.png,button1,match
test,audio/where_roke.wav,,,,,,,,,,,,,,,image/table.png,image/V2.png,image/A1.png,button2,non-match
test,audio/where_giraffe.wav,,,,,,,,,,,,,,,image/table.png,image/helicopter.png,image/giraffe.png,button2,fam
test,audio/find_vab.wav,,,,,,,,,,,,,,,image/table.png,image/V2.png,image/A1.png,button1,match
test,audio/where_smope.wav,,,,,,,,,,,,,,,image/table.png,image/A1.png,image/V1.png,button2,non-match
test,audio/where_teebu.wav,,,,,,,,,,,,,,,image/table.png,image/V1.png,image/A2.png,button2,non-match
test,audio/where_fisp.wav,,,,,,,,,,,,,,,image/table.png,image/V2.png,image/A1.png,button1,non-match
