block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,practiceclick,LbeachBlack,RbeachBlack,black,AG,center,1,,black-background,Fam_test
1,1,practiceclick,blank_square,blank_square,black,none,center,1,,black-background,transition
1,2,find_happyface,happyface_square,sadface_square,black,happy,left,0,,black-background,Fam_test
1,3,where_dog,cat_square,dog_square,black,dog,right,2,,black-background,Fam_test
1,4,find_shoe,sock_square,shoe_square,black,shoe,right,2,,black-background,Fam_test
1,5,where_plate,plate_square,cup_square,black,plate,left,0,,black-background,Fam_test
1,6,where_sadface,happyface_square,sadface_square,black,sad,right,2,,black-background,Fam_test
1,7,find_cat,cat_square,dog_square,black,cat,left,0,,black-background,Fam_test
1,8,where_sock,sock_square,shoe_square,black,sock,left,0,,black-background,Fam_test
1,9,find_cup,plate_square,cup_square,black,cup,right,2,,black-background,Fam_test
1,10,wow_click,LbeachBlack,RbeachBlack,black,AG,center,1,,black-background,filler
